ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8,class
-2.87834e-05,1.29645e-05,-6.72268e-06,1.20035e-05,9.23113e-06,-5.80169e-06,3.50503e-05,-1.20135e-06,0
-2.93928e-05,1.46753e-05,-7.5627e-06,7.42603e-06,7.67999e-06,-5.43556e-06,2.98472e-05,-1.78885e-06,0
-2.99231e-05,1.83205e-05,-7.83736e-06,5.93662e-06,7.73676e-06,-3.99428e-06,2.56e-05,1.11912e-06,0
-3.04245e-05,2.03237e-05,-6.6783e-06,6.43497e-06,8.77668e-06,-2.94805e-06,2.1708e-05,4.52491e-06,0
-2.98564e-05,2.06309e-05,-4.9739e-06,6.72263e-06,1.18835e-05,-2.37152e-06,1.73296e-05,6.14138e-06,0
-2.9169e-05,2.03302e-05,-4.59345e-06,6.78496e-06,1.54395e-05,-9.84894e-07,1.22677e-05,7.05627e-06,0
-2.9467e-05,2.02657e-05,-7.02234e-06,6.58913e-06,1.71784e-05,6.49994e-07,7.89144e-06,7.54085e-06,0
-2.94668e-05,2.12178e-05,-1.12364e-05,4.00601e-06,1.68236e-05,2.18682e-06,4.95398e-06,6.50662e-06,0
-2.87126e-05,2.23672e-05,-1.41102e-05,-1.7552e-06,1.54315e-05,2.96525e-06,2.99387e-06,4.19235e-06,0
-2.73201e-05,2.32229e-05,-1.39992e-05,-8.3953e-06,1.46268e-05,2.58597e-06,1.08161e-06,2.59599e-06,0
-2.60718e-05,2.41596e-05,-1.19293e-05,-1.23477e-05,1.51383e-05,9.05614e-07,-1.83562e-06,1.78101e-06,0
-2.54517e-05,2.54097e-05,-1.00576e-05,-1.16136e-05,1.65208e-05,-8.65128e-07,-6.67233e-06,1.43777e-06,0
-2.61112e-05,2.69582e-05,-8.23441e-06,-8.34044e-06,1.68223e-05,-2.02275e-06,-1.15409e-05,1.4618e-06,0
-2.7701e-05,2.96339e-05,-5.67817e-06,-2.59986e-06,1.534e-05,-2.79044e-06,-1.33448e-05,1.26838e-06,0
-2.92357e-05,3.32712e-05,-4.10107e-06,4.94066e-06,1.37892e-05,-3.01399e-06,-1.19768e-05,1.2014e-07,0
-2.95406e-05,3.85454e-05,-3.9422e-06,8.75704e-06,1.31166e-05,-2.46266e-06,-8.9367e-06,-8.98637e-07,0
-2.8752e-05,4.89242e-05,-4.14751e-06,6.15542e-06,1.30001e-05,-1.71678e-06,-5.81473e-06,-8.45403e-07,0
-2.8551e-05,6.49781e-05,-5.52687e-06,1.74994e-06,1.34109e-05,-1.99849e-06,-2.80549e-06,-3.73379e-07,0
-3.01262e-05,8.13443e-05,-8.65203e-06,-2.7534e-06,1.26867e-05,-3.3716e-06,-1.08647e-06,-6.40963e-07,0
-3.18025e-05,8.74675e-05,-1.20942e-05,-5.92861e-06,1.14276e-05,-5.46384e-06,-2.07199e-06,-8.32969e-07,0
-3.34475e-05,8.08945e-05,-1.31327e-05,-4.79833e-06,9.4685e-06,-7.09001e-06,-3.02268e-06,-5.44579e-07,0
-3.42437e-05,6.43024e-05,-1.12784e-05,-1.28569e-06,8.87931e-06,-8.68717e-06,-5.54757e-07,6.20909e-07,0
-3.19669e-05,4.0558e-05,-7.46162e-06,-5.12489e-07,1.20055e-05,-8.8006e-06,5.30746e-06,1.80566e-06,0
-2.91616e-05,9.64592e-06,-4.15159e-06,-3.47277e-06,1.32824e-05,-7.62347e-06,1.12743e-05,2.60236e-06,0
-2.78156e-05,-1.99183e-05,-4.04743e-06,-8.88824e-06,1.12287e-05,-7.32209e-06,1.5993e-05,2.73669e-06,0
-2.75877e-05,-3.186e-05,-4.88677e-06,-1.22959e-05,1.10512e-05,-7.29248e-06,1.84964e-05,2.49958e-06,0
-2.69513e-05,-3.28364e-05,-5.45661e-06,-9.58562e-06,1.46302e-05,-6.87211e-06,1.76548e-05,3.5829e-06,0
-2.5988e-05,-3.28364e-05,-7.28999e-06,-3.04142e-06,1.8073e-05,-6.44571e-06,1.50899e-05,4.72712e-06,0
-2.50517e-05,-3.25109e-05,-8.3454e-06,4.09281e-06,2.24768e-05,-6.41454e-06,1.25455e-05,4.47248e-06,0
-2.50095e-05,-2.72652e-05,-7.9726e-06,1.0752e-05,2.90992e-05,-5.08561e-06,1.00793e-05,2.95514e-06,0
-2.59664e-05,-1.70004e-05,-7.34081e-06,1.67298e-05,3.33085e-05,-4.22342e-06,8.23324e-06,2.54626e-06,0
-2.70187e-05,-3.08443e-06,-7.21694e-06,1.9516e-05,3.2748e-05,-5.61502e-06,8.3723e-06,3.02403e-06,0
-2.92041e-05,1.45151e-05,-7.06739e-06,1.89993e-05,2.93214e-05,-7.87865e-06,8.9519e-06,3.7069e-06,0
-3.10947e-05,2.88383e-05,-7.76876e-06,1.49032e-05,2.42812e-05,-9.82315e-06,1.04659e-05,4.31827e-06,0
-3.13458e-05,3.39317e-05,-1.0058e-05,8.42162e-06,1.99118e-05,-1.10313e-05,1.37475e-05,4.85257e-06,0
-3.13192e-05,2.93029e-05,-1.19815e-05,2.36598e-06,1.79776e-05,-1.03469e-05,1.84742e-05,5.0253e-06,0
-3.24319e-05,1.93009e-05,-1.27834e-05,-3.88997e-06,1.59607e-05,-8.38161e-06,2.38322e-05,5.28264e-06,0
-3.40704e-05,5.10727e-06,-1.29537e-05,-1.19042e-05,1.31119e-05,-7.4757e-06,2.96351e-05,5.23833e-06,0
-3.47492e-05,-1.01285e-05,-1.36712e-05,-2.10661e-05,1.05547e-05,-7.815e-06,3.84202e-05,4.14006e-06,0
-3.39497e-05,-2.09226e-05,-1.38119e-05,-2.87453e-05,8.95558e-06,-9.03739e-06,5.14562e-05,3.22405e-06,0
-3.27057e-05,-2.33644e-05,-1.27447e-05,-3.23326e-05,7.91592e-06,-1.06909e-05,6.34729e-05,2.96111e-06,0
-3.24208e-05,-2.07844e-05,-1.24116e-05,-3.02989e-05,8.14982e-06,-1.2288e-05,6.76431e-05,3.2526e-06,0
-3.1718e-05,-1.79629e-05,-1.40706e-05,-2.46814e-05,9.60371e-06,-1.34832e-05,6.34469e-05,4.03351e-06,0
-3.0841e-05,-1.47549e-05,-1.54361e-05,-2.14355e-05,1.21641e-05,-1.47664e-05,5.37239e-05,5.58606e-06,0
